voyageid,voyagerank,voyagename,port,sailingfrom,ground,yearout,dayout,yearin,dayin,returncode,agentid,agent,bone,sperm,oil,customsdistrict,logbookexists,aowllink,crewlistlink,source,masterid,master,fate,birth,birthlocation,death,deathlocation,wife,wifetosea,vitalrecordssource,lateroccupation,vesselid,vessel,rig,tonnage,builtplace,builtdate,end,denniswood,logbookscan,voyagecode,boatcode,max_distance,years,price_sperm,price_sperm_real,price_oil,price_oil_real,price_bone,price_bone_real,lost,lost_total,_merge2,product,product_nom,tonn_avg,enddate,life,duration,mastercode,age,lay,_merge,Total,experience,re_prod,n_voyage,l_re_prod,change_boat,stay_boat
AV09010,1,Maria : 1856-1859,"New Bedford, MA",,,1856,1856 Aug 30,1859,1859,C,AA1064,"Rodman, Thomas R.",0,684,0,New Bedford,,NULL,1,"1, 4, 7, 5, 395",AM0002,"Abbott, Joseph",,,,"Sept 5, 1861",at sea,,,4,,AS0231,Maria,Ship / Ship?,202,"Pembroke, MA",1782,"Cond and sold at Talcahuano, Feb,1863 renamed Maria Pacheco",3-188,NULL,8226,228,,3,1.62,1.54,.79500002,.75999999,.57999998,.55000001,.11824324,35,Matched (3),44241.117,46539.359,202,1863,,3,3,,.06666667,both in master and using data,1,1,14747.039,1,,,
AV10126,1,Mount Wollaston : 1834-1836,"Gloucester, MA",,,1834,1834,1836,1836,L,,NULL,0,550,1600,,,NULL,1,"1, 4, 147, 5",AM0009,Adams,,,,,,,,,,AS0465,Mount Wollaston,Bark / Ship,325,"Quincy, MA",1822,"Frozen in ice, destroyed, in Arctic, 1879",,NULL,9214,455,,2,.72500002,.81,.27500001,.31,.20999999,.23,.026881721,5,Matched (3),39543,35227.5,325,1879,,2,8,,.06666667,both in master and using data,1,1,19771.5,1,,,
AV08327,1,Leonidas : 1826-1827,"Fairhaven, MA",,,1826,1826,1827,1827,C,,NULL,0,0,1600,New Bedford,,NULL,1,"1, 4, 5, 395",AM0011,"Adams, Barzillai S.",,"June 12, 1791","Rochester, MA","Nov 16, 1842","Fairhaven, MA",,,"620, 651",,AS1788,Leonidas,Ship,243,"Fairhaven, MA",1816,"Cond and sold at Mauritius, 1851",,NULL,7587,1738,,1,.75,.75999999,.30000001,.30000001,.16,.16,.018181818,1,Matched (3),20160,20160,243,1851,,1,10,,,both in master and using data,4,1,20160,1,,,
AV08328,1,Leonidas : 1827-1828,"Fairhaven, MA",,,1827,1827,1828,1828,C,,NULL,0,0,600,New Bedford,,NULL,1,"1, 4, 395, 5",AM0011,"Adams, Barzillai S.",,"June 12, 1791","Rochester, MA","Nov 16, 1842","Fairhaven, MA",,,"620, 651",,AS1788,Leonidas,Ship,243,"Fairhaven, MA",1816,"Cond and sold at Mauritius, 1851",,NULL,7588,1738,,1,.72500002,.74000001,.30000001,.31,.18000001,.18000001,.021505376,2,Matched (3),7812,7560.0005,243,1851,,1,10,,,both in master and using data,4,2,7812,2,20160,,1
AV07450,1,Java II : 1828-1830,"Fairhaven, MA",,,1828,1828,1830,1830,A,,NULL,16000,120,1920,"New Bedford, MA",MAU,NULL,1,"1, 4, 335, 395, 5",AM0011,"Adams, Barzillai S.",,"June 12, 1791","Rochester, MA","Nov 16, 1842","Fairhaven, MA",,,"620, 651",,AS0349,Java II,Bark / Ship,292/290,"Haverhill, MA",1818,"Aband in the Arctic, 1876",,NULL,6807,342,,2,.625,.63999999,.25999999,.27000001,.25,.25999999,.04587156,5,Matched (3),29158.4,28116.398,291,1876,,2,10,,,both in master and using data,4,3,14579.2,3,7812,1,
AV07451,1,Java II : 1830-1831,"Fairhaven, MA",,S Atlantic,1830,1830 Jun 16,1831,1831,A,,NULL,18000,65,1850,"New Bedford, MA",,NULL,1,"1, 4, 395, 5, 255",AM0011,"Adams, Barzillai S.",,"June 12, 1791","Rochester, MA","Nov 16, 1842","Fairhaven, MA",,,"620, 651",,AS0349,Java II,Bark / Ship,292/290,"Haverhill, MA",1818,"Aband in the Arctic, 1876",,NULL,6808,342,,1,.65499997,.72000003,.38999999,.43000001,.2,.22,.043795619,6,Matched (3),39336.602,35691.148,291,1876,,1,10,,,both in master and using data,4,4,39336.602,4,14579.2,,1
AV12636,1,Rowena : 1846-1849,"Fall River, MA",,Northwest Coast,1846,1846 Aug 29,1849,1849 Apr 23,,AA0407,"Durfee, Nathan",15000,40,3280,Fall River,,NULL,1,"1, 15, 21, 4, 7, 306, 5",AM0013,"Adams, Charles H.",,,,,,,,,,AS2316,Rowena,Brig / Ship,404,"Fall River, MA",1835,Withdr for California,2-580,NULL,11499,2222,,3,.87875003,1.0599999,.33750001,.41,.34,.41,.062745102,16,Matched (3),64412.398,53070.301,404,1849,,3,12,,,both in master and using data,1,1,21470.799,1,,,
AV02192,1,California : 1849-1851,"New Bedford, MA",,"W Arctic, N Pacific, S Pacific",1849,1849 Aug 15,1851,1851 Mar 15,C,AA0641 ?,"Howland, I., Jr. & Co.",44500,47,2995,New Bedford,NBW,NULL,1,"1, 2, 4, 6, 7, 5, 395, 533",AM0014,"Adams, Charles Henry",,,try Sandwich,,,Unknown,,,,AS0093,California,Bark / Ship,398/367,"New Bedford, MA",1842,Broken up at San Francisco,2-81,1,2002,93,,2,1.089,1.33,.39899999,.49000001,.31799999,.38999999,.050632913,12,Matched (3),81617.523,66490.891,382.5,1906,,2,13,,.0625,both in master and using data,2,1,40808.762,1,,,
AV15626,1,William C. Nye : 1851-1854,"New Bedford, MA",,Pacific,1851,1851,1854,1854,B,AA1305,"Tucker, Charles R. & Co.",18500,221,1811,New Bedford,NBL,NULL,1,"1, 2, 4, 6, 7, 395, 5, 297, 76, 533",AM0014,"Adams, Charles Henry",,,try Sandwich,,,Unknown,1,,,AS0684,William C. Nye,Ship,389,"Mattapoisett, MA",1833,"Withdr 1861; sold to SF for whaling, 1862; capt and burned by Shenandoah",2-675; 2-633,NULL,14211,674,,3,1.2725,1.53,.453125,.55000001,.345,.41999999,.078291818,22,Matched (3),63805.559,52659.438,389,1865,,3,13,,,both in master and using data,2,2,21268.52,2,40808.762,1,
AV04720,1,Excellent : 1855-1857,"Mattapoisett, MA",,Atlantic,1855,1855 Oct 29,1857,1857 Aug 9,,AA0099,"Barstow, R. L.",0,275,0,New Bedford,,NULL,1,"1, 7, 50, 395, 5",AM0015,"Adams, Calvin C.",,1799,"Chilmark, MA","Sept 11, 1877",,,,665,"Keeper of Gay Head Light, 1864",AS1330,Excellent,Brig,70/68,"Mattapoisett, MA",1812,"Went ashore and broke up, 1860",3-392,NULL,4328,1294,,2,1.772,1.61,.713,.64999998,.45249999,.41,.12396694,30,Matched (3),18595.5,20466.6,69,1860,48,2,14,,.1,both in master and using data,1,1,9297.75,1,,,
